Gene,Correlation,Uncorrected_P,FDR_P,Significant_FDR,Abs_Corr
ANP32E,0.156140441032076,0.014224286821518294,0.05492111626125366,False,0.156140441032076
HLA-DMA,0.15593488807951933,0.014353949688955762,0.05536071785321924,False,0.15593488807951933
NXPE3,-0.15581478066802543,0.014430192087352306,0.055544486572796536,False,0.15581478066802543
MAOB,0.1557897918777146,0.014446099130987804,0.055544486572796536,False,0.1557897918777146
SLC17A8,0.15578495533765443,0.014449179688126113,0.055544486572796536,False,0.15578495533765443
SNN,0.15570152502161674,0.014502409997307135,0.05558586709674486,False,0.15570152502161674
FAM163B,0.15569910675158666,0.014503955464202866,0.05558586709674486,False,0.15569910675158666
SEMA7A,-0.1556934641215165,0.014507562114912848,0.05558586709674486,False,0.1556934641215165
STARD5,-0.1556418743608748,0.014540573665733648,0.05565146336327786,False,0.1556418743608748
EMB,-0.15554393442465664,0.014603425164852442,0.05581565406708632,False,0.15554393442465664
HS6ST2,-0.15552539435442603,0.014615349737155383,0.05581565406708632,False,0.15552539435442603
CPNE6,0.155431887913263,0.014675621162910754,0.055984777028881764,False,0.155431887913263
MREG,-0.15540246562789703,0.01469463086026975,0.05599629735872107,False,0.15540246562789703
SMARCD3,0.1553605489473757,0.014721750423135482,0.05603866302371789,False,0.1553605489473757
INPP5A,-0.15532306576190946,0.01474603869169215,0.05607017100793258,False,0.15532306576190946
SST,0.15527671558633296,0.014776121102119646,0.05611051282784344,False,0.15527671558633296
BPHL,0.1552573694260923,0.014788693129668616,0.05611051282784344,False,0.1552573694260923
RAMP3,-0.15515660817483906,0.014854324020633258,0.05625858360382155,False,0.15515660817483906
KIAA1841,-0.15514814422973378,0.014859848610375481,0.05625858360382155,False,0.15514814422973378
SMC1A,-0.15511549758432774,0.014881174600581887,0.056278481048852885,False,0.15511549758432774
KCNH5,-0.15503811294336522,0.014931832183055271,0.05638426524029797,False,0.15503811294336522
SMPX,-0.15502360332318477,0.014941347270987013,0.05638426524029797,False,0.15502360332318477
SORL1,-0.15495669785235258,0.014985291110647569,0.05648240413815463,False,0.15495669785235258
PELI3,-0.15493493342208187,0.014999610465015363,0.05648240413815463,False,0.15493493342208187
CACNB4,-0.15489825632662566,0.01502376833261841,0.05651260655298568,False,0.15489825632662566
RBBP7,0.15483659044085868,0.015064462187328423,0.056604878304746926,False,0.15483659044085868
C1QC,0.1547132586693247,0.015146139443885463,0.056790917884369185,False,0.1547132586693247
NOVA1,-0.15471285562431966,0.01514640699714472,0.056790917884369185,False,0.15471285562431966
SLC20A2,-0.1545451889022342,0.015258068566749983,0.05710295387262797,False,0.1545451889022342
CA11,0.15452866405702867,0.015269112569693733,0.05710295387262797,False,0.15452866405702867
HGH1,0.15451455748185325,0.015278545910523245,0.05710295387262797,False,0.15451455748185325
TPGS2,-0.15436986432505354,0.015375599819210203,0.05739689874230273,False,0.15436986432505354
IKBIP,0.15434850293978783,0.015389973706174261,0.05739689874230273,False,0.15434850293978783
LAT2,0.15426547566875515,0.015445953717324655,0.05749134512761532,False,0.15426547566875515
CHGA,-0.15426225130871504,0.01544813128643233,0.05749134512761532,False,0.15426225130871504
SH3GLB1,0.15409337545161456,0.015562557446994418,0.057767697500660645,False,0.15409337545161456
GLUD1,0.15408329932648923,0.015569408154297047,0.057767697500660645,False,0.15408329932648923
NDUFC2,0.15407967192144412,0.015571875054432796,0.057767697500660645,False,0.15407967192144412
PRRT3,-0.15399140506534625,0.015632008401699107,0.05790941504532881,False,0.15399140506534625
PCDH8,0.15392933613457424,0.01567441545052872,0.05790941504532881,False,0.15392933613457424
RASGEF1C,0.15391442346938874,0.015684619130698053,0.05790941504532881,False,0.15391442346938874
RAB36,0.15390112298422334,0.01569372460937876,0.05790941504532881,False,0.15390112298422334
CXorf57,0.15389507730914814,0.015697864990853995,0.05790941504532881,False,0.15389507730914814
CHID1,0.15387331287887743,0.01571277827252478,0.05790941504532881,False,0.15387331287887743
TMEM54,0.15384348754850646,0.01573323510808499,0.05790941504532881,False,0.15384348754850646
MYB,0.153830187063341,0.01574236525504084,0.05790941504532881,False,0.153830187063341
CUL3,-0.15371290096688223,0.015823077258806977,0.05812410276740802,False,0.15371290096688223
INTS4P1,-0.1536971822116867,0.01583392177044753,0.05812410276740802,False,0.1536971822116867
GPSM1,0.15365486248616034,0.015863150827524587,0.05817042324396974,False,0.15365486248616034
PBX3,-0.1534686556938443,0.015992319615145363,0.058582744029538766,False,0.1534686556938443
RARRES3,0.15337031271262108,0.016060908764334147,0.05877252089101169,False,0.15337031271262108
UBA52,0.15323972613099685,0.016152383290665984,0.059045559795315526,False,0.15323972613099685
PGM2L1,0.15319337595542037,0.01618496035684601,0.05910295221029689,False,0.15319337595542037
KLF9,-0.1531607293100143,0.01620794037505515,0.05912521582650327,False,0.1531607293100143
STK26,-0.1531329192046684,0.01622753841847297,0.05913510878407112,False,0.1531329192046684
SLC29A1,-0.15310389996430745,0.016248010613640788,0.05914816337730773,False,0.15310389996430745
IFIH1,-0.1530305457733951,0.01629986037465259,0.0592677212372237,False,0.1530305457733951
